gene,type
ENSG00000152253,downregulated
ENSG00000178966,downregulated
ENSG00000183763,downregulated
ENSG00000149929,downregulated
ENSG00000127586,downregulated
ENSG00000157212,downregulated
ENSG00000064655,downregulated
ENSG00000163002,downregulated
ENSG00000124588,downregulated
ENSG00000149679,downregulated
ENSG00000122861,upregulated
ENSG00000119630,upregulated
ENSG00000132821,upregulated
ENSG00000176531,upregulated
ENSG00000198734,upregulated
ENSG00000185088,upregulated
ENSG00000115414,upregulated
ENSG00000197191,upregulated
ENSG00000026751,upregulated
ENSG00000167653,upregulated
